	Andoh_2012	Ashton_2017	Bajer_2017	Baumgart_2017	MartinezMedina_2006	Rehman_2010	Santoru_2017	Eun_2016	Kabeerdoss_2015	Halfvarson_2017	Forbes_2016	Gevers_2014	Erickson_2012	Kellermayer_2012	Jacobs_2016	Machiels_2014	Liguori_2016	Norman_2015	Mottawea_2016	Pascal_2017	Knoll_2017	Stojanovic_2013	Pedamallu_2016	Morgan_2012	Frank_2007	Willing_2010	Walker_2011	Kaakoush_2012	Duboc_2013	Hansen_2012	Kolho_2015	Schwiertz_2000	Wang_2014	MartinezMedina_2009	Papa_2012	Seksik_2003	Gophna_2006	Tong_2013
Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium	0	0	0	0	2	0	0	-2	-2	-2	0	-2	0	2	0	0	0	0	2	-2	3	-1	0	3	0	0	0	2	0	2	-2	0	-3	0	0	-2	0	0
Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	0	0	-1	-2	0	-2	-2	-2	0	-2	0	-3	0	0	-2	0	-2	0	-3	-2	0	0	0	-3	-3	-2	0	0	0	0	0	0	0	0	0	0	0	-3
Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	0	0	-1	0	2	0	0	0	0	0	0	-2	0	2	-2	0	-2	0	-3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	0	0	-3	-2	0	0	0	0	0	-2	-2	-2	-2	0	0	0	-2	0	0	-3	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	-2
Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	-1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2
Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0	0	-1	-2	0	-2	0	0	0	0	0	-2	-2	-2	0	0	-2	0	-3	-3	0	0	0	-3	0	-2	0	-2	0	-2	0	0	0	0	0	0	0	0
Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|[Ruminococcus]	0	0	0	0	2	2	0	0	0	0	0	2	0	2	2	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	-2	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	0	0	-2	-2	0	0	0	0	0	-2	0	0	0	0	0	0	0	-3	-3	-3	0	0	0	-2	0	-2	0	-2	0	0	0	0	0	0	0	0	0	0
Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	1
Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	-1	-3	-2	-3	-3	0	0	0	-3	0	-2	0	-2	-2	2	-2	-2	0	0	0	0	0	-2
Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	0	0	0	0	0	0	-2	0	0	0	-2	0	0	0	-1	0	-2	0	1	-2	0	-1	0	0	0	0	0	-2	0	0	0	0	0	0	-3	0	0	0
